PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize,Game,Genre
3883,Peter,Rasmussen,dupreeh,dk,1822989.41,Counter-Strike: Global Offensive,First-Person Shooter
3679,Andreas,Højsleth,Xyp9x,dk,1799288.57,Counter-Strike: Global Offensive,First-Person Shooter
3885,Nicolai,Reedtz,dev1ce,dk,1787489.88,Counter-Strike: Global Offensive,First-Person Shooter
3672,Lukas,Rossander,gla1ve,dk,1652350.75,Counter-Strike: Global Offensive,First-Person Shooter
17800,Emil,Reif,Magisk,dk,1416448.64,Counter-Strike: Global Offensive,First-Person Shooter
16800,Jakey,Yip,Stewie2k,us,1087340,Counter-Strike: Global Offensive,First-Person Shooter
12183,Epitácio,de Melo,TACO,br,1063858.27,Counter-Strike: Global Offensive,First-Person Shooter
12169,Fernando,Alvarenga,fer,br,1063038.92,Counter-Strike: Global Offensive,First-Person Shooter
2455,Gabriel,Toledo,FalleN,br,1059938.92,Counter-Strike: Global Offensive,First-Person Shooter
12182,Marcelo,David,coldzera,br,1021901.46,Counter-Strike: Global Offensive,First-Person Shooter
10629,Keith,Markovic,NAF,ca,982765.66,Counter-Strike: Global Offensive,First-Person Shooter
2452,Finn,Andersen,karrigan,dk,964635.39,Counter-Strike: Global Offensive,First-Person Shooter
11788,Jonathan,Jablonowski,ELiGE,us,930696.42,Counter-Strike: Global Offensive,First-Person Shooter
8635,Nick,Cannella,nitr0,us,920151.73,Counter-Strike: Global Offensive,First-Person Shooter
3875,Jesper,Wecksell,JW,se,897760.68,Counter-Strike: Global Offensive,First-Person Shooter
5001,Olof,Kajbjer,olofmeister,se,880011.52,Counter-Strike: Global Offensive,First-Person Shooter
3878,Robin,Rönnquist,flusha,se,877668.95,Counter-Strike: Global Offensive,First-Person Shooter
5000,Freddy,Johansson,KRiMZ,se,867823.34,Counter-Strike: Global Offensive,First-Person Shooter
20415,Russel,Van Dulken,Twistzz,ca,835376.43,Counter-Strike: Global Offensive,First-Person Shooter
3888,Dan,Madesclaire,apEX,fr,814852.39,Counter-Strike: Global Offensive,First-Person Shooter
3290,Nathan,Schmitt,NBK,fr,805444.66,Counter-Strike: Global Offensive,First-Person Shooter
3882,Ladislav,Kovács,GuardiaN,sk,798520.8,Counter-Strike: Global Offensive,First-Person Shooter
